folder n coef type seed tests id
dataset_16_50k 41142 48134 1 0 1000 0
dataset_16_50k 18933 48142 1 1 1000 1
dataset_16_50k 35489 43367 1 2 1000 2
dataset_16_50k 35684 5054 1 3 1000 3
dataset_16_50k 44860 1536 1 4 1000 4
dataset_16_50k 22987 19241 1 5 1000 5
dataset_16_50k 30407 54699 1 6 1000 6
dataset_16_50k 1843 4595 1 7 1000 7
dataset_16_50k 45307 4272 1 8 1000 8
dataset_16_50k 22692 59953 1 9 1000 9
dataset_16_50k 30641 13284 1 10 1000 10
dataset_16_50k 19320 1954 1 11 1000 11
dataset_16_50k 15669 5690 1 12 1000 12
dataset_16_50k 20608 45561 1 13 1000 13
dataset_16_50k 15205 44396 1 14 1000 14
dataset_16_50k 21539 62400 1 15 1000 15
dataset_16_50k 31626 19372 1 16 1000 16
dataset_16_50k 38436 58340 1 17 1000 17
dataset_16_50k 3537 34446 1 18 1000 18
dataset_16_50k 39441 5588 1 19 1000 19
dataset_16_50k 20250 11259 1 20 1000 20
dataset_16_50k 34065 12252 1 21 1000 21
dataset_16_50k 15008 30781 1 22 1000 22
dataset_16_50k 11706 57266 1 23 1000 23
dataset_16_50k 43361 2195 1 24 1000 24
dataset_16_50k 17655 4077 1 25 1000 25
dataset_16_50k 49912 49342 1 26 1000 26
dataset_16_50k 42124 58490 1 27 1000 27
dataset_16_50k 23569 61829 1 28 1000 28
dataset_16_50k 28145 11679 1 29 1000 29
dataset_16_50k 34656 50211 1 30 1000 30
dataset_16_50k 14935 28583 1 31 1000 31
dataset_16_50k 20674 39964 1 32 1000 32
dataset_16_50k 40113 53101 1 33 1000 33
dataset_16_50k 40557 31821 1 34 1000 34
dataset_16_50k 6647 62647 1 35 1000 35
dataset_16_50k 37356 25097 1 36 1000 36
dataset_16_50k 11206 32279 1 37 1000 37
dataset_16_50k 36749 25407 1 38 1000 38
dataset_16_50k 18280 63834 1 39 1000 39
dataset_16_50k 33200 5024 1 40 1000 40
dataset_16_50k 32581 62993 1 41 1000 41
dataset_16_50k 14929 47023 1 42 1000 42
dataset_16_50k 49728 41498 1 43 1000 43
dataset_16_50k 24918 59780 1 44 1000 44
dataset_16_50k 41185 28646 1 45 1000 45
dataset_16_50k 31628 62315 1 46 1000 46
dataset_16_50k 48897 13997 1 47 1000 47
dataset_16_50k 44533 20199 1 48 1000 48
dataset_16_50k 19603 39085 1 49 1000 49
dataset_16_50k 22768 15747 1 50 1000 50
dataset_16_50k 18047 64217 1 51 1000 51
dataset_16_50k 7979 7368 1 52 1000 52
dataset_16_50k 35976 24870 1 53 1000 53
dataset_16_50k 13343 14887 1 54 1000 54
dataset_16_50k 24544 42854 1 55 1000 55
dataset_16_50k 17404 43216 1 56 1000 56
dataset_16_50k 39341 14273 1 57 1000 57
dataset_16_50k 25117 63828 1 58 1000 58
dataset_16_50k 25541 3384 1 59 1000 59
dataset_16_50k 726 6462 1 60 1000 60
dataset_16_50k 33009 2605 1 61 1000 61
dataset_16_50k 45965 52416 1 62 1000 62
dataset_16_50k 45651 50163 1 63 1000 63
dataset_16_50k 25545 31603 1 64 1000 64
dataset_16_50k 48881 11884 1 65 1000 65
dataset_16_50k 11812 5646 1 66 1000 66
dataset_16_50k 34966 49322 1 67 1000 67
dataset_16_50k 13714 57570 1 68 1000 68
dataset_16_50k 23954 20157 1 69 1000 69
dataset_16_50k 6957 45518 1 70 1000 70
dataset_16_50k 42597 726 1 71 1000 71
dataset_16_50k 31641 28938 1 72 1000 72
dataset_16_50k 35035 26202 1 73 1000 73
dataset_16_50k 48789 62340 1 74 1000 74
dataset_16_50k 21150 41162 1 75 1000 75
dataset_16_50k 37530 54145 1 76 1000 76
dataset_16_50k 46988 12902 1 77 1000 77
dataset_16_50k 34859 41557 1 78 1000 78
dataset_16_50k 38883 26888 1 79 1000 79
dataset_16_50k 38406 18732 1 80 1000 80
dataset_16_50k 33175 20282 1 81 1000 81
dataset_16_50k 40029 58476 1 82 1000 82
dataset_16_50k 24569 7866 1 83 1000 83
dataset_16_50k 32496 59052 1 84 1000 84
dataset_16_50k 35916 47407 1 85 1000 85
dataset_16_50k 4758 39873 1 86 1000 86
dataset_16_50k 11518 24854 1 87 1000 87
dataset_16_50k 15323 48826 1 88 1000 88
dataset_16_50k 1527 25027 1 89 1000 89
dataset_16_50k 34409 24557 1 90 1000 90
dataset_16_50k 43700 2383 1 91 1000 91
dataset_16_50k 21462 60951 1 92 1000 92
dataset_16_50k 42643 29987 1 93 1000 93
dataset_16_50k 3446 22202 1 94 1000 94
dataset_16_50k 11070 2335 1 95 1000 95
dataset_16_50k 13325 48206 1 96 1000 96
dataset_16_50k 36259 51658 1 97 1000 97
dataset_16_50k 40824 39017 1 98 1000 98
dataset_16_50k 36388 16841 1 99 1000 99
dataset_16_50k 33191 14942 2 0 1000 100
dataset_16_50k 32314 44116 2 1 1000 101
dataset_16_50k 43201 62052 2 2 1000 102
dataset_16_50k 21967 47078 2 3 1000 103
dataset_16_50k 990 10153 2 4 1000 104
dataset_16_50k 40896 20845 2 5 1000 105
dataset_16_50k 12547 30948 2 6 1000 106
dataset_16_50k 42109 63860 2 7 1000 107
dataset_16_50k 36491 29543 2 8 1000 108
dataset_16_50k 20567 5201 2 9 1000 109
dataset_16_50k 42998 20167 2 10 1000 110
dataset_16_50k 887 41727 2 11 1000 111
dataset_16_50k 36347 30385 2 12 1000 112
dataset_16_50k 35567 35321 2 13 1000 113
dataset_16_50k 4461 60819 2 14 1000 114
dataset_16_50k 10860 19448 2 15 1000 115
dataset_16_50k 6107 56663 2 16 1000 116
dataset_16_50k 44906 23670 2 17 1000 117
dataset_16_50k 8636 18282 2 18 1000 118
dataset_16_50k 5393 29505 2 19 1000 119
dataset_16_50k 41173 27010 2 20 1000 120
dataset_16_50k 1371 54064 2 21 1000 121
dataset_16_50k 8264 56703 2 22 1000 122
dataset_16_50k 17818 49395 2 23 1000 123
dataset_16_50k 36776 61030 2 24 1000 124
dataset_16_50k 22304 16111 2 25 1000 125
dataset_16_50k 6992 59446 2 26 1000 126
dataset_16_50k 46391 47110 2 27 1000 127
dataset_16_50k 49074 13018 2 28 1000 128
dataset_16_50k 16602 37406 2 29 1000 129
dataset_16_50k 20219 8170 2 30 1000 130
dataset_16_50k 6223 45073 2 31 1000 131
dataset_16_50k 24058 4166 2 32 1000 132
dataset_16_50k 42831 49415 2 33 1000 133
dataset_16_50k 30608 27929 2 34 1000 134
dataset_16_50k 29023 10565 2 35 1000 135
